class	subject	replicate	matches	total	clonotype_matches	total_clonotypes
VH1-18 QXXV	326713	18	44	1960704	30	1045282
VH1-18 QXXV	326737	1	17	1395033	7	439616
VH1-18 QXXV	326737	2	51	1619911	16	534586
VH1-18 QXXV	326737	3	22	1087186	9	349662
VH1-18 QXXV	326737	4	65	1003902	15	291455
VH1-18 QXXV	326737	5	1	367267	1	81294
VH1-18 QXXV	326737	6	0	450563	0	105805
VH1-18 QXXV	326737	7	49	1356821	19	490516
VH1-18 QXXV	326737	8	67	1940910	22	673638
VH1-18 QXXV	326737	9	24	1458761	9	444694
VH1-18 QXXV	326737	10	27	807450	7	231380
VH1-18 QXXV	326737	11	2	625634	1	157987
VH1-18 QXXV	326737	12	0	506791	0	126755
VH1-18 QXXV	326737	13	38	856921	8	241796
VH1-18 QXXV	326737	14	23	1014078	6	316632
VH1-18 QXXV	326737	15	51	683814	12	186095
VH1-18 QXXV	326737	16	50	803469	15	221735
VH1-18 QXXV	326737	17	0	393561	0	100236
VH1-18 QXXV	326737	18	15	239462	4	58904
VH1-18 QXXV	326780	1	62	3260945	24	1049806
VH1-18 QXXV	326780	2	53	3657113	18	1089972
VH1-18 QXXV	326780	3	1	115769	1	36394
VH1-18 QXXV	326780	4	21	1438354	5	391891
VH1-18 QXXV	326780	5	30	2217023	14	688312
VH1-18 QXXV	326780	6	22	2359622	10	717587
VH1-18 QXXV	326780	7	60	2660966	17	882564
VH1-18 QXXV	326780	8	17	2085743	7	632308
VH1-18 QXXV	326780	9	0	550420	0	134732
VH1-18 QXXV	326780	10	22	1181296	3	291636
VH1-18 QXXV	326780	11	84	2359573	16	661255
VH1-18 QXXV	326780	12	26	1238902	10	376133
VH1-18 QXXV	326780	13	71	3339642	18	1121821
VH1-18 QXXV	326780	14	57	2883725	16	882407
VH1-18 QXXV	326780	15	13	2383508	8	748152
VH1-18 QXXV	326780	16	14	1935207	5	526163
VH1-18 QXXV	326780	17	54	1638793	16	497890
VH1-18 QXXV	326780	18	29	1673102	10	500421
VH1-18 QXXV	326797	1	55	1797883	14	535443
VH1-18 QXXV	326797	2	59	2613706	17	864192
VH1-18 QXXV	326797	3	48	1689092	18	568441
VH1-18 QXXV	326797	4	25	1779970	11	564787
